2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
30-34,"40,537","20,167","20,370","32,212","16,103","16,109","8,325","4,064","4,261",,"58,672","28,151","30,521","43,417","20,929","22,488","15,255","7,222","8,033",,,,,,,,,,,,,,,
35-39,"31,476","15,289","16,187","25,002","12,239","12,763","6,474","3,050","3,424",,"45,851","22,645","23,206","34,075","16,907","17,168","11,776","5,738","6,038",,,,,,,,,,,,,,,
40-44,"26,010","12,806","13,204","20,883","10,275","10,608","5,127","2,531","2,596",,"32,749","16,452","16,297","24,637","12,363","12,274","8,112","4,089","4,023",,,,,,,,,,,,,,,
45-49,"19,164","9,338","9,826","15,554","7,577","7,977","3,610","1,761","1,849",,"24,312","12,136","12,176","18,355","9,232","9,123","5,957","2,904","3,053",,,,,,,,,,,,,,,
50-54,"15,860","8,031","7,829","12,990","6,640","6,350","2,870","1,391","1,479",,"20,789","10,269","10,520","15,811","7,836","7,975","4,978","2,433","2,545",,,,,,,,,,,,,,,
55-59,"10,240","5,361","4,879","8,347","4,384","3,963","1,893",977,916,,"13,291","6,783","6,508","9,988","5,149","4,839","3,303","1,634","1,669",,,,,,,,,,,,,,,
60-64,"9,306","4,505","4,801","7,661","3,714","3,947","1,645",791,854,,"13,627","6,854","6,773","10,471","5,294","5,177","3,156","1,560","1,596",,,,,,,,,,,,,,,
65-69,"6,947","3,429","3,518","5,760","2,884","2,876","1,187",545,642,,"7,675","3,728","3,947","5,894","2,877","3,017","1,781",851,930,,,,,,,,,,,,,,,
70-74,"5,513","2,789","2,724","4,606","2,388","2,218",907,401,506,,"7,005","3,359","3,646","5,460","2,652","2,808","1,545",707,838,,,,,,,,,,,,,,,
75-79,"3,281","1,792","1,489","2,752","1,541","1,211",529,251,278,,"4,245","2,161","2,084","3,272","1,703","1,569",973,458,515,,,,,,,,,,,,,,,
80+,"4,223","2,235","1,988","3,489","1,937","1,552",734,298,436,,"6,571","3,094","3,477","5,151","2,538","2,613","1,420",556,864,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table15.1 Kalambo District Council : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table15.1 Kalambo District Council : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"212,078","102,298","109,780","196,811","95,037","101,774","15,267","7,261","8,006",,"205,476","99,320","106,156","202,602","97,953","104,649","2,874","1,367","1,507",,,,,,,,,,,,,,,
0-4,"42,080","20,824","21,256","39,223","19,440","19,783","2,857","1,384","1,473",,"42,542","20,982","21,560","42,009","20,705","21,304",533,277,256,,,,,,,,,,,,,,,
9-May,"34,194","17,088","17,106","31,914","15,924","15,990","2,280","1,164","1,116",,"36,098","18,129","17,969","35,618","17,904","17,714",480,225,255,,,,,,,,,,,,,,,
4-Oct,"28,791","14,351","14,440","26,711","13,319","13,392","2,080","1,032","1,048",,"28,417","14,150","14,267","27,983","13,928","14,055",434,222,212,,,,,,,,,,,,,,,
15-19,"23,027","10,662","12,365","21,249","9,841","11,408","1,778",821,957,,"19,747","9,265","10,482","19,470","9,133","10,337",277,132,145,,,,,,,,,,,,,,,
20-24,"18,474","7,947","10,527","17,110","7,363","9,747","1,364",584,780,,"16,456","7,049","9,407","16,242","6,967","9,275",214,82,132,,,,,,,,,,,,,,,
25-29,"15,346","7,031","8,315","14,165","6,527","7,638","1,181",504,677,,"14,350","6,515","7,835","14,130","6,429","7,701",220,86,134,,,,,,,,,,,,,,,
30-34,"11,264","5,481","5,783","10,394","5,040","5,354",870,441,429,,"11,273","5,371","5,902","11,062","5,268","5,794",211,103,108,,,,,,,,,,,,,,,
35-39,"9,073","4,233","4,840","8,398","3,924","4,474",675,309,366,,"8,802","4,233","4,569","8,682","4,177","4,505",120,56,64,,,,,,,,,,,,,,,
40-44,"7,564","3,613","3,951","6,978","3,338","3,640",586,275,311,,"6,782","3,256","3,526","6,690","3,215","3,475",92,41,51,,,,,,,,,,,,,,,
45-49,"5,651","2,729","2,922","5,238","2,530","2,708",413,199,214,,"5,247","2,545","2,702","5,167","2,505","2,662",80,40,40,,,,,,,,,,,,,,,
50-54,"4,582","2,240","2,342","4,227","2,084","2,143",355,156,199,,"4,465","2,169","2,296","4,401","2,134","2,267",64,35,29,,,,,,,,,,,,,,,
55-59,"2,990","1,499","1,491","2,786","1,405","1,381",204,94,110,,"2,804","1,456","1,348","2,751","1,432","1,319",53,24,29,,,,,,,,,,,,,,,
60-64,"2,920","1,342","1,578","2,704","1,233","1,471",216,109,107,,"2,925","1,408","1,517","2,903","1,399","1,504",22,9,13,,,,,,,,,,,,,,,
65-69,"2,240","1,077","1,163","2,098","1,012","1,086",142,65,77,,"1,694",820,874,"1,672",806,866,22,14,8,,,,,,,,,,,,,,,
70-74,"1,618",866,752,"1,507",818,689,111,48,63,,"1,509",751,758,"1,485",743,742,24,8,16,,,,,,,,,,,,,,,
75-79,"1,012",593,419,954,562,392,58,31,27,,982,508,474,969,501,468,13,7,6,,,,,,,,,,,,,,,
80+,"1,252",722,530,"1,155",677,478,97,45,52,,"1,383",713,670,"1,368",707,661,15,6,9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table15.2 Sumbawanga District Council : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table15.2 Sumbawanga District Council : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"159,671","79,148","80,523","155,166","76,953","78,213","4,505","2,195","2,310",,"301,477","146,401","155,076","269,789","131,261","138,528","31,688","15,140","16,548",,,,,,,,,,,,,,,
0-4,"31,691","15,634","16,057","30,888","15,230","15,658",803,404,399,,"62,228","30,717","31,511","56,117","27,680","28,437","6,111","3,037","3,074",,,,,,,,,,,,,,,
9-May,"25,310","12,683","12,627","24,616","12,324","12,292",694,359,335,,"53,798","26,647","27,151","48,319","23,999","24,320","5,479","2,648","2,831",,,,,,,,,,,,,,,
4-Oct,"20,434","10,339","10,095","19,825","10,039","9,786",609,300,309,,"40,323","20,119","20,204","36,070","17,991","18,079","4,253","2,128","2,125",,,,,,,,,,,,,,,
15-19,"17,642","8,569","9,073","17,162","8,341","8,821",480,228,252,,"28,194","13,254","14,940","25,240","11,869","13,371","2,954","1,385","1,569",,,,,,,,,,,,,,,
20-24,"14,866","6,962","7,904","14,427","6,764","7,663",439,198,241,,"24,214","10,455","13,759","21,644","9,421","12,223","2,570","1,034","1,536",,,,,,,,,,,,,,,
25-29,"11,997","5,864","6,133","11,641","5,697","5,944",356,167,189,,"22,172","10,058","12,114","19,819","9,005","10,814","2,353","1,053","1,300",,,,,,,,,,,,,,,
30-34,"8,757","4,438","4,319","8,474","4,293","4,181",283,145,138,,"17,862","8,630","9,232","15,900","7,711","8,189","1,962",919,"1,043",,,,,,,,,,,,,,,
35-39,"6,665","3,306","3,359","6,485","3,221","3,264",180,85,95,,"13,805","6,982","6,823","12,271","6,215","6,056","1,534",767,767,,,,,,,,,,,,,,,
40-44,"5,603","2,812","2,791","5,444","2,733","2,711",159,79,80,,"9,566","4,844","4,722","8,493","4,313","4,180","1,073",531,542,,,,,,,,,,,,,,,
45-49,"4,107","2,007","2,100","3,995","1,965","2,030",112,42,70,,"7,059","3,599","3,460","6,275","3,203","3,072",784,396,388,,,,,,,,,,,,,,,
50-54,"3,482","1,786","1,696","3,370","1,735","1,635",112,51,61,,"6,241","3,142","3,099","5,515","2,810","2,705",726,332,394,,,,,,,,,,,,,,,
55-59,"2,252","1,168","1,084","2,181","1,129","1,052",71,39,32,,"3,833","1,960","1,873","3,355","1,731","1,624",478,229,249,,,,,,,,,,,,,,,
60-64,"2,142","1,068","1,074","2,074","1,036","1,038",68,32,36,,"4,034","2,065","1,969","3,565","1,827","1,738",469,238,231,,,,,,,,,,,,,,,
65-69,"1,628",832,796,"1,570",806,764,58,26,32,,"2,329","1,099","1,230","2,019",955,"1,064",310,144,166,,,,,,,,,,,,,,,
70-74,"1,386",700,686,"1,350",682,668,36,18,18,,"2,238","1,030","1,208","1,986",913,"1,073",252,117,135,,,,,,,,,,,,,,,
75-79,700,391,309,681,381,300,19,10,9,,"1,316",693,623,"1,158",615,543,158,78,80,,,,,,,,,,,,,,,
80+,"1,009",589,420,983,577,406,26,12,14,,"2,265","1,107","1,158","2,043","1,003","1,040",222,104,118,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table15.3 Nkasi District Council: Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table15.3 Nkasi District Council: Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"207,311","102,117","105,194","166,811","82,710","84,101","40,500","19,407","21,093",,"277,986","135,403","142,583","201,451","98,685","102,766","76,535","36,718","39,817",,,,,,,,,,,,,,,
0-4,"40,360","20,139","20,221","32,792","16,378","16,414","7,568","3,761","3,807",,"57,251","28,384","28,867","42,428","21,079","21,349","14,823","7,305","7,518",,,,,,,,,,,,,,,
9-May,"33,043","16,449","16,594","26,841","13,377","13,464","6,202","3,072","3,130",,"48,507","24,064","24,443","35,666","17,740","17,926","12,841","6,324","6,517",,,,,,,,,,,,,,,
4-Oct,"26,928","13,499","13,429","21,585","10,914","10,671","5,343","2,585","2,758",,"37,665","18,691","18,974","27,166","13,560","13,606","10,499","5,131","5,368",,,,,,,,,,,,,,,
15-19,"22,282","10,834","11,448","17,873","8,715","9,158","4,409","2,119","2,290",,"27,024","12,761","14,263","19,162","9,131","10,031","7,862","3,630","4,232",,,,,,,,,,,,,,,
20-24,"18,381","8,098","10,283","14,866","6,656","8,210","3,515","1,442","2,073",,"22,109","9,630","12,479","16,005","7,071","8,934","6,104","2,559","3,545",,,,,,,,,,,,,,,
25-29,"15,879","7,568","8,311","12,760","6,122","6,638","3,119","1,446","1,673",,"19,715","8,988","10,727","14,336","6,584","7,752","5,379","2,404","2,975",,,,,,,,,,,,,,,
30-34,"11,981","6,114","5,867","9,615","4,926","4,689","2,366","1,188","1,178",,"16,329","7,915","8,414","11,621","5,691","5,930","4,708","2,224","2,484",,,,,,,,,,,,,,,
35-39,"9,020","4,529","4,491","7,156","3,639","3,517","1,864",890,974,,"12,999","6,468","6,531","9,215","4,583","4,632","3,784","1,885","1,899",,,,,,,,,,,,,,,
40-44,"7,610","3,782","3,828","6,125","3,074","3,051","1,485",708,777,,"9,271","4,811","4,460","6,606","3,437","3,169","2,665","1,374","1,291",,,,,,,,,,,,,,,
45-49,"5,715","2,803","2,912","4,570","2,269","2,301","1,145",534,611,,"6,711","3,439","3,272","4,761","2,458","2,303","1,950",981,969,,,,,,,,,,,,,,,
50-54,"4,799","2,482","2,317","3,807","2,023","1,784",992,459,533,,"5,803","2,863","2,940","4,175","2,041","2,134","1,628",822,806,,,,,,,,,,,,,,,
55-59,"3,029","1,644","1,385","2,371","1,305","1,066",658,339,319,,"3,854","1,953","1,901","2,736","1,403","1,333","1,118",550,568,,,,,,,,,,,,,,,
60-64,"2,607","1,325","1,282","2,028","1,033",995,579,292,287,,"3,934","2,054","1,880","2,785","1,474","1,311","1,149",580,569,,,,,,,,,,,,,,,
65-69,"1,918",966,952,"1,499",767,732,419,199,220,,"2,067","1,055","1,012","1,476",760,716,591,295,296,,,,,,,,,,,,,,,
70-74,"1,586",784,802,"1,219",617,602,367,167,200,,"1,900",990,910,"1,356",711,645,544,279,265,,,,,,,,,,,,,,,
75-79,983,520,463,787,423,364,196,97,99,,"1,139",558,581,789,395,394,350,163,187,,,,,,,,,,,,,,,
80+,"1,190",581,609,917,472,445,273,109,164,,"1,708",779,929,"1,168",567,601,540,212,328,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table15.4 Sumbawanga Municipal Council : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table15.4 Sumbawanga Municipal Council : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"146,842","71,176","75,666","72,539","35,917","36,622","74,303","35,259","39,044",,"206,973","99,244","107,729","85,126","41,556","43,570","121,847","57,688","64,159",,,,,,,,,,,,,,,
0-4,"26,117","13,005","13,112","14,118","6,946","7,172","11,999","6,059","5,940",,"34,400","17,075","17,325","15,964","7,953","8,011","18,436","9,122","9,314",,,,,,,,,,,,,,,
9-May,"22,923","11,324","11,599","11,942","5,948","5,994","10,981","5,376","5,605",,"32,216","15,726","16,490","15,340","7,561","7,779","16,876","8,165","8,711",,,,,,,,,,,,,,,
4-Oct,"20,761","10,186","10,575","10,573","5,329","5,244","10,188","4,857","5,331",,"29,052","13,881","15,171","12,690","6,256","6,434","16,362","7,625","8,737",,,,,,,,,,,,,,,
15-19,"16,747","7,964","8,783","7,868","3,944","3,924","8,879","4,020","4,859",,"23,962","11,374","12,588","8,368","4,149","4,219","15,594","7,225","8,369",,,,,,,,,,,,,,,
20-24,"14,508","6,453","8,055","6,864","3,224","3,640","7,644","3,229","4,415",,"20,040","9,220","10,820","6,762","3,108","3,654","13,278","6,112","7,166",,,,,,,,,,,,,,,
25-29,"11,564","5,524","6,040","5,058","2,573","2,485","6,506","2,951","3,555",,"16,645","7,602","9,043","5,889","2,752","3,137","10,756","4,850","5,906",,,,,,,,,,,,,,,
30-34,"8,535","4,134","4,401","3,729","1,844","1,885","4,806","2,290","2,516",,"13,208","6,235","6,973","4,834","2,259","2,575","8,374","3,976","4,398",,,,,,,,,,,,,,,
35-39,"6,718","3,221","3,497","2,963","1,455","1,508","3,755","1,766","1,989",,"10,245","4,962","5,283","3,907","1,932","1,975","6,338","3,030","3,308",,,,,,,,,,,,,,,
40-44,"5,233","2,599","2,634","2,336","1,130","1,206","2,897","1,469","1,428",,"7,130","3,541","3,589","2,848","1,398","1,450","4,282","2,143","2,139",,,,,,,,,,,,,,,
45-49,"3,691","1,799","1,892","1,751",813,938,"1,940",986,954,,"5,295","2,553","2,742","2,152","1,066","1,086","3,143","1,487","1,656",,,,,,,,,,,,,,,
50-54,"2,997","1,523","1,474","1,586",798,788,"1,411",725,686,,"4,280","2,095","2,185","1,720",851,869,"2,560","1,244","1,316",,,,,,,,,,,,,,,
55-59,"1,969","1,050",919,"1,009",545,464,960,505,455,,"2,800","1,414","1,386","1,146",583,563,"1,654",831,823,,,,,,,,,,,,,,,
60-64,"1,637",770,867,855,412,443,782,358,424,,"2,734","1,327","1,407","1,218",594,624,"1,516",733,783,,,,,,,,,,,,,,,
65-69,"1,161",554,607,593,299,294,568,255,313,,"1,585",754,831,727,356,371,858,398,460,,,,,,,,,,,,,,,
70-74,923,439,484,530,271,259,393,168,225,,"1,358",588,770,633,285,348,725,303,422,,,,,,,,,,,,,,,
75-79,586,288,298,330,175,155,256,113,143,,808,402,406,356,192,164,452,210,242,,,,,,,,,,,,,,,
80+,772,343,429,434,211,223,338,132,206,,"1,215",495,720,572,261,311,643,234,409,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.0 Kigoma Region : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.0 Kigoma Region : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"1,674,047","804,634","869,413","1,471,240","707,148","764,092","202,807","97,486","105,321",,"1,984,358","956,451","1,027,907","1,626,948","785,185","841,763","357,410","171,266","186,144",,,,,,,,,,,,,,,
0-4,"331,274","165,156","166,118","297,486","148,183","149,303","33,788","16,973","16,815",,"383,331","191,274","192,057","326,548","162,848","163,700","56,783","28,426","28,357",,,,,,,,,,,,,,,
9-May,"268,425","135,008","133,417","239,176","120,393","118,783","29,249","14,615","14,634",,"314,429","157,982","156,447","264,053","132,881","131,172","50,376","25,101","25,275",,,,,,,,,,,,,,,
4-Oct,"228,423","114,207","114,216","200,858","100,984","99,874","27,565","13,223","14,342",,"269,583","134,206","135,377","220,479","110,537","109,942","49,104","23,669","25,435",,,,,,,,,,,,,,,
15-19,"177,332","83,866","93,466","152,194","71,935","80,259","25,138","11,931","13,207",,"204,528","98,509","106,019","159,786","77,233","82,553","44,742","21,276","23,466",,,,,,,,,,,,,,,
20-24,"141,520","60,026","81,494","121,023","50,812","70,211","20,497","9,214","11,283",,"157,404","69,964","87,440","123,813","54,484","69,329","33,591","15,480","18,111",,,,,,,,,,,,,,,
25-29,"118,898","53,207","65,691","102,440","45,772","56,668","16,458","7,435","9,023",,"130,781","58,219","72,562","104,449","46,581","57,868","26,332","11,638","14,694",,,,,,,,,,,,,,,
30-34,"93,242","43,703","49,539","80,833","37,954","42,879","12,409","5,749","6,660",,"108,062","49,201","58,861","86,278","39,350","46,928","21,784","9,851","11,933",,,,,,,,,,,,,,,
35-39,"73,227","34,947","38,280","63,836","30,331","33,505","9,391","4,616","4,775",,"93,643","43,885","49,758","74,825","34,974","39,851","18,818","8,911","9,907",,,,,,,,,,,,,,,
40-44,"60,483","29,611","30,872","52,696","25,628","27,068","7,787","3,983","3,804",,"73,751","34,851","38,900","59,532","27,942","31,590","14,219","6,909","7,310",,,,,,,,,,,,,,,
45-49,"42,600","20,254","22,346","37,257","17,480","19,777","5,343","2,774","2,569",,"56,379","27,657","28,722","45,742","22,361","23,381","10,637","5,296","5,341",,,,,,,,,,,,,,,
50-54,"37,976","17,337","20,639","33,645","15,188","18,457","4,331","2,149","2,182",,"52,731","25,305","27,426","43,021","20,488","22,533","9,710","4,817","4,893",,,,,,,,,,,,,,,
55-59,"22,254","11,033","11,221","19,716","9,727","9,989","2,538","1,306","1,232",,"31,121","16,035","15,086","25,381","12,938","12,443","5,740","3,097","2,643",,,,,,,,,,,,,,,
60-64,"24,343","10,370","13,973","21,705","9,185","12,520","2,638","1,185","1,453",,"32,234","14,936","17,298","27,201","12,578","14,623","5,033","2,358","2,675",,,,,,,,,,,,,,,
65-69,"15,841","7,278","8,563","14,175","6,525","7,650","1,666",753,913,,"18,875","8,992","9,883","16,023","7,631","8,392","2,852","1,361","1,491",,,,,,,,,,,,,,,
70-74,"15,809","7,021","8,788","14,122","6,390","7,732","1,687",631,"1,056",,"21,267","9,227","12,040","18,308","8,024","10,284","2,959","1,203","1,756",,,,,,,,,,,,,,,
75-79,"9,060","4,844","4,216","8,127","4,430","3,697",933,414,519,,"11,063","5,376","5,687","9,494","4,618","4,876","1,569",758,811,,,,,,,,,,,,,,,
80+,"13,340","6,766","6,574","11,951","6,231","5,720","1,389",535,854,,"25,176","10,832","14,344","22,015","9,717","12,298","3,161","1,115","2,046",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.1 kibondo District : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.1 kibondo District : Total Population by Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"210,308","101,060","109,248","197,471","94,888","102,583","12,837","6,172","6,665",,"257,382","123,088","134,294","228,821","109,391","119,430","28,561","13,697","14,864",,,,,,,,,,,,,,,
0-4,"44,071","21,807","22,264","41,916","20,707","21,209","2,155","1,100","1,055",,"51,648","25,619","26,029","47,125","23,310","23,815","4,523","2,309","2,214",,,,,,,,,,,,,,,
9-May,"34,382","17,245","17,137","32,620","16,344","16,276","1,762",901,861,,"41,956","20,971","20,985","37,916","18,924","18,992","4,040","2,047","1,993",,,,,,,,,,,,,,,
4-Oct,"27,839","13,848","13,991","26,101","13,080","13,021","1,738",768,970,,"35,686","17,369","18,317","31,671","15,467","16,204","4,015","1,902","2,113",,,,,,,,,,,,,,,
15-19,"21,354","9,816","11,538","19,703","9,056","10,647","1,651",760,891,,"25,825","12,021","13,804","22,222","10,312","11,910","3,603","1,709","1,894",,,,,,,,,,,,,,,
20-24,"17,221","7,399","9,822","15,892","6,833","9,059","1,329",566,763,,"20,783","9,617","11,166","18,199","8,459","9,740","2,584","1,158","1,426",,,,,,,,,,,,,,,
25-29,"14,840","6,817","8,023","13,669","6,279","7,390","1,171",538,633,,"17,144","8,026","9,118","14,921","7,048","7,873","2,223",978,"1,245",,,,,,,,,,,,,,,
30-34,"11,762","5,712","6,050","10,937","5,277","5,660",825,435,390,,"13,292","6,191","7,101","11,414","5,304","6,110","1,878",887,991,,,,,,,,,,,,,,,
35-39,"9,162","4,371","4,791","8,550","4,065","4,485",612,306,306,,"11,559","5,354","6,205","10,015","4,643","5,372","1,544",711,833,,,,,,,,,,,,,,,
40-44,"7,446","3,646","3,800","6,992","3,422","3,570",454,224,230,,"8,838","4,065","4,773","7,753","3,507","4,246","1,085",558,527,,,,,,,,,,,,,,,
45-49,"5,095","2,355","2,740","4,790","2,183","2,607",305,172,133,,"6,852","3,245","3,607","6,031","2,820","3,211",821,425,396,,,,,,,,,,,,,,,
50-54,"4,824","2,182","2,642","4,566","2,035","2,531",258,147,111,,"6,442","2,792","3,650","5,754","2,457","3,297",688,335,353,,,,,,,,,,,,,,,
55-59,"2,676","1,313","1,363","2,524","1,234","1,290",152,79,73,,"3,716","1,759","1,957","3,269","1,523","1,746",447,236,211,,,,,,,,,,,,,,,
60-64,"2,886","1,221","1,665","2,741","1,155","1,586",145,66,79,,"4,033","1,769","2,264","3,661","1,596","2,065",372,173,199,,,,,,,,,,,,,,,
65-69,"1,914",891,"1,023","1,824",855,969,90,36,54,,"2,475","1,112","1,363","2,273","1,043","1,230",202,69,133,,,,,,,,,,,,,,,
70-74,"1,840",830,"1,010","1,763",799,964,77,31,46,,"2,602","1,122","1,480","2,394","1,046","1,348",208,76,132,,,,,,,,,,,,,,,
75-79,"1,227",668,559,"1,190",654,536,37,14,23,,"1,462",713,749,"1,355",665,690,107,48,59,,,,,,,,,,,,,,,
80+,"1,769",939,830,"1,693",910,783,76,29,47,,"3,069","1,343","1,726","2,848","1,267","1,581",221,76,145,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table16.2 Kasulu District : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,"Table16.2 Kasulu District : Total Population by Age in Single Years, Five Years Age Groups,  Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"246,193","119,307","126,886","246,193","119,307","126,886",0,0,0,,"306,660","148,793","157,867","299,434","145,430","154,004","7,226","3,363","3,863",,,,,,,,,,,,,,,
0-4,"52,176","26,051","26,125","52,176","26,051","26,125",0,0,0,,"66,407","32,841","33,566","64,986","32,134","32,852","1,421",707,714,,,,,,,,,,,,,,,
9-May,"39,446","20,054","19,392","39,446","20,054","19,392",0,0,0,,"50,674","25,496","25,178","49,468","24,900","24,568","1,206",596,610,,,,,,,,,,,,,,,
4-Oct,"34,143","17,152","16,991","34,143","17,152","16,991",0,0,0,,"40,582","20,472","20,110","39,616","20,010","19,606",966,462,504,,,,,,,,,,,,,,,
15-19,"24,541","11,656","12,885","24,541","11,656","12,885",0,0,0,,"29,800","14,652","15,148","29,074","14,314","14,760",726,338,388,,,,,,,,,,,,,,,
20-24,"20,137","8,416","11,721","20,137","8,416","11,721",0,0,0,,"23,378","10,247","13,131","22,823","10,051","12,772",555,196,359,,,,,,,,,,,,,,,
25-29,"16,849","7,614","9,235","16,849","7,614","9,235",0,0,0,,"19,579","8,814","10,765","19,160","8,624","10,536",419,190,229,,,,,,,,,,,,,,,
30-34,"13,634","6,554","7,080","13,634","6,554","7,080",0,0,0,,"16,567","7,650","8,917","16,205","7,508","8,697",362,142,220,,,,,,,,,,,,,,,
35-39,"10,996","5,347","5,649","10,996","5,347","5,649",0,0,0,,"13,394","6,376","7,018","13,069","6,232","6,837",325,144,181,,,,,,,,,,,,,,,
40-44,"8,557","4,306","4,251","8,557","4,306","4,251",0,0,0,,"10,518","5,093","5,425","10,277","5,010","5,267",241,83,158,,,,,,,,,,,,,,,
