2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,
"Table 1.2: Mpwapwa District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,"Table 1.2: Mpwapwa District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,
Age,Total,,,,,,Rural,,,,,Urban,,,,,,,Total,,,,,,Rural,,,,,Urban,,,,
,Total,,Male,,Female,,Total,Male,,Female,,Total,Male,,Female,,,,Total,,Male,,Female,,Total,Male,,Female,,Total,Male,,Female,
Total,,"253,602",,"122,675",,"130,927","232,909",,"112,857",,"120,052","20,693",,"9,818",,10875,,,,"300,294",,"144,843",,"155,451","275,280",,"133,178",,"142,102","25,014",,"11,665",,"13,349"
0-4,"43,989",,"21,821",,"22,168",,"41,125","20,395",,"20,730",,"2,864","1,426",,"1,438",,,,"48,997",,"24,204",,"24,793",,"46,091","22,740",,"23,351",,"2,906","1,464",,"1,442",
5-9,"38,925",,"19,302",,"19,623",,"36,159","17,951",,"18,208",,"2,766","1,351",,"1,415",,,,"51,461",,"25,709",,"25,752",,"48,296","24,135",,"24,161",,"3,165","1,574",,"1,591",
10-14,"32,082",,"16,241",,"15,841",,"29,425","14,938",,"14,487",,"2,657","1,303",,"1,354",,,,"42,022",,"21,132",,"20,890",,"38,708","19,561",,"19,147",,"3,314","1,571",,"1,743",
15-19,"25,500",,"12,672",,"12,828",,"22,926","11,445",,"11,481",,"2,574","1,227",,"1,347",,,,"27,763",,"14,068",,"13,695",,"24,765","12,672",,"12,093",,"2,998","1,396",,"1,602",
20-24,"23,262",,"10,452",,"12,810",,"21,284","9,555",,"11,729",,"1,978",897,,"1,081",,,,"22,744",,"10,321",,"12,423",,"20,383","9,296",,"11,087",,"2,361","1,025",,"1,336",
25-29,"19,566",,"9,165",,"10,401",,"17,953","8,432",,"9,521",,"1,613",733,,880,,,,"19,602",,"8,718",,"10,884",,"17,756","7,927",,"9,829",,"1,846",791,,"1,055",
30-34,"16,149",,"7,577",,"8,572",,"14,769","6,976",,"7,793",,"1,380",601,,779,,,,"18,813",,"8,480",,"10,333",,"17,026","7,685",,"9,341",,"1,787",795,,992,
35-39,"11,855",,"5,686",,"6,169",,"10,732","5,136",,"5,596",,"1,123",550,,573,,,,"15,230",,"7,140",,"8,090",,"13,799","6,474",,"7,325",,"1,431",666,,765,
40-44,"9,625",,"4,630",,"4,995",,"8,689","4,183",,"4,506",,936,447,,489,,,,"12,670",,"6,003",,"6,667",,"11,501","5,477",,"6,024",,"1,169",526,,643,
45-49,"7,073",,"3,245",,"3,828",,"6,448","2,963",,"3,485",,625,282,,343,,,,"9,481",,"4,483",,"4,998",,"8,499","4,016",,"4,483",,982,467,,515,
50-54,"6,368",,"2,987",,"3,381",,"5,751","2,699",,"3,052",,617,288,,329,,,,"8,163",,"3,866",,"4,297",,"7,371","3,517",,"3,854",,792,349,,443,
55-59,"4,266",,"1,975",,"2,291",,"3,867","1,783",,"2,084",,399,192,,207,,,,"5,211",,"2,521",,"2,690",,"4,650","2,245",,"2,405",,561,276,,285,
60-64,"4,504",,"2,089",,"2,415",,"4,111","1,893",,"2,218",,393,196,,197,,,,"5,017",,"2,342",,"2,675",,"4,498","2,095",,"2,403",,519,247,,272,
65-69,"3,066",,"1,339",,"1,727",,"2,806","1,223",,"1,583",,260,116,,144,,,,"3,351",,"1,499",,"1,852",,"3,016","1,353",,"1,663",,335,146,,189,
70-74,"3,000",,"1,354",,"1,646",,"2,778","1,254",,"1,524",,222,100,,122,,,,"3,571",,"1,670",,"1,901",,"3,244","1,522",,"1,722",,327,148,,179,
75-79,"1,801",,906,,895,,"1,682",854,,828,,119,52,,67,,,,"2,199",,990,,"1,209",,"1,980",886,,"1,094",,219,104,,115,
80+,"2,571",,"1,234",,"1,337",,"2,404","1,177",,"1,227",,167,57,,110,,,,"3,999",,"1,697",,"2,302",,"3,697","1,577",,"2,120",,302,120,,182,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.3 : Kongwa District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.3 : Kongwa District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"248,656","119,418","129,238","231,364","111,029","120,335","17,292","8,389","8,903",,"305,919","147,037","158,882","277,158","133,470","143,688","28,761","13,567","15,194",,,,,,,,,,,,,,,
0-4,"44,323","21,589","22,734","41,599","20,295","21,304","2,724","1,294","1,430",,"52,207","25,936","26,271","48,051","23,849","24,202","4,156","2,087","2,069",,,,,,,,,,,,,,,
5-9,"38,262","18,862","19,400","36,072","17,783","18,289","2,190","1,079","1,111",,"52,909","26,464","26,445","48,742","24,450","24,292","4,167","2,014","2,153",,,,,,,,,,,,,,,
10-14,"30,438","15,392","15,046","28,578","14,451","14,127","1,860",941,919,,"41,844","20,788","21,056","37,988","18,992","18,996","3,856","1,796","2,060",,,,,,,,,,,,,,,
15-19,"25,093","12,282","12,811","23,119","11,378","11,741","1,974",904,"1,070",,"29,397","14,532","14,865","26,263","13,047","13,216","3,134","1,485","1,649",,,,,,,,,,,,,,,
20-24,"22,999","10,181","12,818","21,046","9,349","11,697","1,953",832,"1,121",,"23,969","10,651","13,318","21,342","9,562","11,780","2,627","1,089","1,538",,,,,,,,,,,,,,,
25-29,"19,571","9,005","10,566","17,783","8,103","9,680","1,788",902,886,,"20,465","9,024","11,441","18,111","7,986","10,125","2,354","1,038","1,316",,,,,,,,,,,,,,,
30-34,"16,366","7,719","8,647","14,938","6,931","8,007","1,428",788,640,,"18,917","8,686","10,231","16,697","7,673","9,024","2,220","1,013","1,207",,,,,,,,,,,,,,,
35-39,"11,293","5,436","5,857","10,446","4,999","5,447",847,437,410,,"15,313","7,100","8,213","13,617","6,251","7,366","1,696",849,847,,,,,,,,,,,,,,,
40-44,"9,493","4,544","4,949","8,821","4,169","4,652",672,375,297,,"12,552","5,890","6,662","11,273","5,250","6,023","1,279",640,639,,,,,,,,,,,,,,,
45-49,"6,810","3,170","3,640","6,391","2,965","3,426",419,205,214,,"8,772","4,183","4,589","7,924","3,745","4,179",848,438,410,,,,,,,,,,,,,,,
